id, name, gender, size, type, more_names
253, Nerd Glasses, f, s, Attribute, 
254, Regular Shades, u, l, Attribute, 
255, Regular Shades, f, s, Attribute, 
256, Small Shades, u, l, Attribute, 
257, Small Shades, f, s, Attribute, 
258, VR, u, l, Attribute, 
259, VR, f, s, Attribute, 
260, Welding Goggles, f, s, Attribute, 
261, Heart Shades, u, l, Attribute, 
262, Heart Shades, f, s, Attribute, 
263, Ski Googles, u, l, Attribute, 
264, Ski Googles, f, s, Attribute, 
265, Laser Eyes, u, l, Attribute, Laser Eyes Red
266, Laser Eyes, f, s, Attribute, Laser Eyes Red
267, Laser Eyes Gold, u, l, Attribute, 
268, Laser Eyes Gold, f, s, Attribute, 
269, Tears, u, l, Attribute, 
270, Tears, f, s, Attribute, 
271, Blue Eye Shadow, f, s, Attribute, 
272, Green Eye Shadow, f, s, Attribute, 
273, Green Eye Shadow, f, l, Attribute, 
274, Purple Eye Shadow, f, s, Attribute, 
275, Clown Eyes Blue, u, l, Attribute, 
276, Clown Eyes Blue, f, s, Attribute, 
277, Clown Eyes Green, u, l, Attribute, 
278, Clown Eyes Green, f, s, Attribute, 
279, Clown Eyes Purple, u, l, Attribute, 
280, Clown Eyes Purple, f, s, Attribute, 
281, Mole, m, l, Attribute, 
282, Mole, f, s, Attribute, 
283, Rosy Cheeks, m, l, Attribute, 
284, Rosy Cheeks, f, s, Attribute, 
285, Spots, m, l, Attribute, 
286, Spots, f, s, Attribute, 
287, Clown Nose, u, l, Attribute, Clown Nose Red
288, Clown Nose, f, s, Attribute, Clown Nose Red
289, Clown Nose Blue, u, l, Attribute, 
290, Clown Nose Blue, f, s, Attribute, 
291, Clown Nose Green, u, l, Attribute, 
292, Clown Nose Green, f, s, Attribute, 
293, Earring, u, l, Attribute, Gold Earring
294, Earring, f, s, Attribute, Gold Earring
295, Silver Earring, u, l, Attribute, 
296, Silver Earring, f, s, Attribute, 
297, Buck Teeth, m, l, Attribute, 
298, Frown, m, l, Attribute, 
299, Smile, m, l, Attribute, 
300, Black Lipstick, f, u, Attribute, 
301, Hot Lipstick, f, u, Attribute, 
302, Purple Lipstick, f, u, Attribute, 
303, Pink Lipstick, f, u, Attribute, 
304, Red Lipstick, f, u, Attribute, 
305, Cigarette, u, l, Attribute, 
306, Cigarette, f, s, Attribute, 
307, Medical Mask, u, l, Attribute, 
308, Medical Mask, f, s, Attribute, 
309, Pipe, u, l, Attribute, 
310, Pipe, f, s, Attribute, 
311, Vape, u, l, Attribute, 
312, Vape, f, s, Attribute, 
313, Bubble Gum, u, l, Attribute, 
314, Bubble Gum, f, s, Attribute, 
315, Cigar, u, l, Attribute, 
316, Cigar, f, s, Attribute, 
317, Choker, f, u, Attribute, 
318, Gold Chain, m, l, Attribute, 
319, Gold Chain, f, u, Attribute, 
320, Silver Chain, m, l, Attribute, 
321, Silver Chain, f, u, Attribute, 
322, Gold Diamond Chain, m, l, Attribute, Gold Diamond Necklace
323, Gold Diamond Chain, f, u, Attribute, Gold Diamond Necklace
324, Big Beard, m, l, Attribute, 
325, Chinstrap, m, l, Attribute, 
326, Front Beard, m, l, Attribute, 
327, Front Beard Dark, m, l, Attribute, 
328, Goat, m, l, Attribute, 
329, Handlebars, m, l, Attribute, 
330, Luxurious Beard, m, l, Attribute, 
331, Mustache, m, l, Attribute, 
332, Muttonchops, m, l, Attribute, 
333, Normal Beard, m, l, Attribute, 
334, Normal Beard Black, m, l, Attribute, 
335, Shadow Beard, m, l, Attribute, 
336, Bandana, m, l, Attribute, 
337, Bandana, f, s, Attribute, 
338, Beanie, m, l, Attribute, 
339, Beanie, f, s, Attribute, 
340, Cap Forward, u, l, Attribute, 
341, Cap Forward, f, s, Attribute, 
342, Cowboy Hat, m, l, Attribute, 
343, Cowboy Hat, f, s, Attribute, 
344, Do-rag, m, l, Attribute, 
345, Do-rag, f, s, Attribute, 
346, Fedora, m, l, Attribute, Fedora 1
347, Fedora, f, s, Attribute, Fedora 1
348, Headband, u, l, Attribute, 
349, Headband, f, s, Attribute, 
350, Hoodie, m, l, Attribute, 
351, Hoodie, f, s, Attribute, 
352, Knitted Cap, u, l, Attribute, 
353, Knitted Cap, f, s, Attribute, 
354, Pilot Helmet, f, s, Attribute, 
355, Police Cap, m, l, Attribute, 
356, Police Cap, f, s, Attribute, 
357, Tassle Hat, f, s, Attribute, 
358, Tiara, f, s, Attribute, 
359, Top Hat, m, l, Attribute, 
360, Top Hat, f, s, Attribute, 
361, Demon Horns, u, l, Attribute, 
362, Demon Horns, f, s, Attribute, 
363, Bear Hood, m, l, Attribute, 
364, Bear Hood, f, s, Attribute, 
365, Birthday Hat, u, l, Attribute, 
366, Birthday Hat, f, s, Attribute, 
367, Bow, f, s, Attribute, 
368, Crown, u, l, Attribute, 
369, Crown, f, s, Attribute, 
370, Flowers, f, s, Attribute, 
371, Frog Hood, m, l, Attribute, 
372, Frog Hood, f, s, Attribute, 
373, Jester Hat, u, l, Attribute, 
374, Jester Hat, f, s, Attribute, 
375, Santa Hat, u, l, Attribute, 
376, Santa Hat, f, s, Attribute, 
377, Sombrero, u, l, Attribute, Sombrero 1
378, Sombrero, f, s, Attribute, Sombrero 1
379, Sun Hat, u, l, Attribute, 
380, Sun Hat, f, s, Attribute, 
381, Superhero Tiara, f, s, Attribute, 
382, Viking Helmet, u, l, Attribute, 
383, Viking Helmet, f, s, Attribute, 
384, Winter Hat, u, l, Attribute, 
385, Winter Hat, f, s, Attribute, 
386, Wizard Hat, u, l, Attribute, 
387, Australian Cork Hat, m, l, Attribute, 
388, Australian Cork Hat, f, s, Attribute, 
389, Ayam, m, l, Attribute, 
390, Ayam, f, s, Attribute, 
391, Bamboo Hat, m, l, Attribute, 
392, Bamboo Hat, f, s, Attribute, 
393, Baseball Cap, m, l, Attribute, 
394, Baseball Cap, f, s, Attribute, 
395, Bear Skin, m, l, Attribute, 
396, Bear Skin, f, s, Attribute, 
397, Beer Bong, m, l, Attribute, 
398, Beer Bong, f, s, Attribute, 
399, Beret, m, l, Attribute, 
400, Beret, f, s, Attribute, 
401, Boater, m, l, Attribute, 
402, Boater, f, s, Attribute, 
403, Bororo, m, l, Attribute, 
404, Bororo, f, s, Attribute, 
405, Chichak Helmet, m, l, Attribute, 
406, Chichak Helmet, f, s, Attribute, 
407, Chinese Landlords Hat, m, l, Attribute, 
408, Chinese Landlords Hat, f, s, Attribute, 
409, Chullo, m, l, Attribute, 
410, Chullo, f, s, Attribute, 
411, Fedora 2, m, l, Attribute, 
412, Fedora 2, f, s, Attribute, 
413, Fez, m, l, Attribute, 
414, Fez, f, s, Attribute, 
415, Fisherman Cap, m, l, Attribute, 
416, Fisherman Cap, f, s, Attribute, 
417, Flamenco Hat, m, l, Attribute, 
418, Flamenco Hat, f, s, Attribute, 
419, Flower Crown, m, l, Attribute, 
420, Flower Crown, f, s, Attribute, 
421, Gat, m, l, Attribute, 
422, Gat, f, s, Attribute, 
423, Gaucho, m, l, Attribute, 
424, Gaucho, f, s, Attribute, 
425, Hennin, m, l, Attribute, 
426, Hennin, f, s, Attribute, 
427, Isicholo, m, l, Attribute, 
428, Isicholo, f, s, Attribute, 
429, Jaapi, m, l, Attribute, 
430, Jaapi, f, s, Attribute, 
431, Keffiyeh, m, l, Attribute, 
432, Keffiyeh, f, s, Attribute, 
433, Krakowiak, m, l, Attribute, 
434, Krakowiak, f, s, Attribute, 
435, Misango Cap, m, l, Attribute, 
436, Misango Cap, f, s, Attribute, 
437, Newsboy Cap, m, l, Attribute, 
438, Panama Hat, m, l, Attribute, 
439, Panama Hat, f, s, Attribute, 
440, Rasta, m, l, Attribute, 
441, Rasta, f, s, Attribute, 
442, Royal Cocktail Hat, f, s, Attribute, 
443, Sibenik, m, l, Attribute, 
444, Sibenik, f, s, Attribute, 
445, Sombrero 2, m, l, Attribute, 
446, Sombrero 2, f, s, Attribute, 
447, Tam-O-Shanter, m, l, Attribute, 
448, Tam-O-Shanter, f, s, Attribute, 
449, Trapper Hat, m, l, Attribute, 
450, Trapper Hat, f, s, Attribute, 
451, Tuque, m, l, Attribute, 
452, Tuque, f, s, Attribute, 
453, Turban, m, l, Attribute, 
454, Turban, f, s, Attribute, 
455, Tyrolean, m, l, Attribute, 
456, Tyrolean, f, s, Attribute, 
457, Ushanka, m, l, Attribute, 
458, Ushanka, f, s, Attribute, 
459, Viking Hat, m, l, Attribute, 
460, Viking Hat, f, s, Attribute, 
461, Cap, u, l, Attribute, 
462, Cap, f, s, Attribute, 
463, Cap 0°, u, l, Attribute, Cap Red
464, Cap 0°, f, s, Attribute, Cap Red
465, Cap 30°, u, l, Attribute, Cap Orange
466, Cap 30°, f, s, Attribute, Cap Orange
467, Cap 60°, u, l, Attribute, Cap Yellow
468, Cap 60°, f, s, Attribute, Cap Yellow
469, Cap 90°, u, l, Attribute, Cap Yellow Green
470, Cap 90°, f, s, Attribute, Cap Yellow Green
471, Cap 120°, u, l, Attribute, Cap Green
472, Cap 120°, f, s, Attribute, Cap Green
473, Cap 150°, u, l, Attribute, Cap Cyan Green
474, Cap 150°, f, s, Attribute, Cap Cyan Green
475, Cap 180°, u, l, Attribute, Cap Cyan
476, Cap 180°, f, s, Attribute, Cap Cyan
477, Cap 210°, u, l, Attribute, Cap Cyan Blue
478, Cap 210°, f, s, Attribute, Cap Cyan Blue
479, Cap 240°, u, l, Attribute, Cap Blue
480, Cap 240°, f, s, Attribute, Cap Blue
481, Cap 270°, u, l, Attribute, Cap Violet
482, Cap 270°, f, s, Attribute, Cap Violet
483, Cap 300°, u, l, Attribute, Cap Magenta
484, Cap 300°, f, s, Attribute, Cap Magenta
485, Cap 330°, u, l, Attribute, Cap Red Magenta
486, Cap 330°, f, s, Attribute, Cap Red Magenta
487, Blonde Short, f, s, Attribute, 
488, Crazy Hair, m, l, Attribute, 
489, Crazy Hair, f, s, Attribute, 
490, Crazy Hair, f, l, Attribute, 
491, Dark Hair, f, s, Attribute, 
492, Frumpy Hair, m, l, Attribute, 
493, Frumpy Hair, f, s, Attribute, 
494, Half Shaved, f, s, Attribute, 
495, Messy Hair, u, l, Attribute, 
496, Messy Hair, f, s, Attribute, 
497, Mohawk, u, l, Attribute, 
498, Mohawk, f, s, Attribute, 
499, Mohawk Dark, u, l, Attribute, 
500, Mohawk Dark, f, s, Attribute, 
501, Mohawk Thin, u, l, Attribute, 
502, Mohawk Thin, f, s, Attribute, 
503, Orange Side, f, s, Attribute, 
504, Peak Spike, m, l, Attribute, 
505, Pigtails, f, s, Attribute, 
506, Pink With Hat, f, s, Attribute, 
507, Purple Hair, m, l, Attribute, 
508, Purple Hair, f, s, Attribute, 
509, Red Mohawk, f, s, Attribute, 
510, Shaved Head, m, l, Attribute, 
511, Shaved Head, f, s, Attribute, 
512, Straight Hair, f, s, Attribute, 
513, Straight Hair Blonde, f, s, Attribute, 
514, Straight Hair Dark, f, s, Attribute, 
515, Stringy Hair, m, l, Attribute, 
516, Stringy Hair, f, s, Attribute, 
517, Vampire Hair, m, l, Attribute, 
518, Wild Blonde, f, s, Attribute, 
519, Wild Hair, m, l, Attribute, 
520, Wild Hair, f, s, Attribute, 
521, Wild Hair, f, l, Attribute, 
522, Wild White Hair, f, s, Attribute, 
523, Black Afro, u, l, Attribute, 
524, Black Afro, f, s, Attribute, 
525, Brown Afro, u, l, Attribute, 
526, Dark Red Afro, u, l, Attribute, 
527, Orange Afro, u, l, Attribute, 
528, Red Afro, u, l, Attribute, 
529, Pink Afro, u, l, Attribute, 
530, Purple Afro, u, l, Attribute, 
531, Blue Afro, u, l, Attribute, 
532, Periwinkle Afro, u, l, Attribute, 
533, Light Blue Afro, u, l, Attribute, 
534, Light Green Afro, u, l, Attribute, 
535, Green Afro, u, l, Attribute, 
536, Teal Afro, u, l, Attribute, 
537, Blonde Afro, u, l, Attribute, 
538, Silver Afro, u, l, Attribute, 
539, White Afro, u, l, Attribute, 
540, Brown Afro, f, s, Attribute, 
541, Dark Red Afro, f, s, Attribute, 
542, Orange Afro, f, s, Attribute, 
543, Red Afro, f, s, Attribute, 
544, Pink Afro, f, s, Attribute, 
545, Purple Afro, f, s, Attribute, 
546, Blue Afro, f, s, Attribute, 
547, Periwinkle Afro, f, s, Attribute, 
548, Light Blue Afro, f, s, Attribute, 
549, Light Green Afro, f, s, Attribute, 
550, Green Afro, f, s, Attribute, 
551, Teal Afro, f, s, Attribute, 
552, Blonde Afro, f, s, Attribute, 
553, Silver Afro, f, s, Attribute, 
554, White Afro, f, s, Attribute, 
555, Big Hair Black, u, l, Attribute, 
556, Big Hair Black, f, s, Attribute, 
557, Big Hair Brown, u, l, Attribute, 
558, Big Hair Dark Red, u, l, Attribute, 
559, Big Hair Orange, u, l, Attribute, 
560, Big Hair Red, u, l, Attribute, 
561, Big Hair Pink, u, l, Attribute, 
562, Big Hair Purple, u, l, Attribute, 
563, Big Hair Blue, u, l, Attribute, 
564, Big Hair Periwinkle, u, l, Attribute, 
565, Big Hair Light Blue, u, l, Attribute, 
566, Big Hair Light Green, u, l, Attribute, 
567, Big Hair Green, u, l, Attribute, 
568, Big Hair Teal, u, l, Attribute, 
569, Big Hair Blonde, u, l, Attribute, 
570, Big Hair Silver, u, l, Attribute, 
571, Big Hair White, u, l, Attribute, 
572, Big Hair Brown, f, s, Attribute, 
573, Big Hair Dark Red, f, s, Attribute, 
574, Big Hair Orange, f, s, Attribute, 
575, Big Hair Red, f, s, Attribute, 
576, Big Hair Pink, f, s, Attribute, 
577, Big Hair Purple, f, s, Attribute, 
578, Big Hair Blue, f, s, Attribute, 
579, Big Hair Periwinkle, f, s, Attribute, 
580, Big Hair Light Blue, f, s, Attribute, 
581, Big Hair Light Green, f, s, Attribute, 
582, Big Hair Green, f, s, Attribute, 
583, Big Hair Teal, f, s, Attribute, 
584, Big Hair Blonde, f, s, Attribute, 
585, Big Hair Silver, f, s, Attribute, 
586, Big Hair White, f, s, Attribute, 
587, Black Bob, f, s, Attribute, 
588, Brown Bob, f, s, Attribute, 
589, Dark Red Bob, f, s, Attribute, 
590, Orange Bob, f, s, Attribute, 
591, Red Bob, f, s, Attribute, 
592, Pink Bob, f, s, Attribute, 
593, Purple Bob, f, s, Attribute, 
594, Blue Bob, f, s, Attribute, 
595, Periwinkle Bob, f, s, Attribute, 
596, Light Blue Bob, f, s, Attribute, 
597, Light Green Bob, f, s, Attribute, 
598, Green Bob, f, s, Attribute, 
599, Teal Bob, f, s, Attribute, 
600, Silver Bob, f, s, Attribute, 
601, White Bob, f, s, Attribute, 
602, Blonde Bob, f, l, Attribute, 
603, Blonde Bob, f, s, Attribute, 
604, Blonder Bob, f, s, Attribute, 
605, Black Buzz Cut, u, l, Attribute, 
606, Black Buzz Cut, f, s, Attribute, 
607, Brown Buzz Cut, u, l, Attribute, 
608, Dark Red Buzz Cut, u, l, Attribute, 
609, Orange Buzz Cut, u, l, Attribute, 
610, Red Buzz Cut, u, l, Attribute, 
611, Pink Buzz Cut, u, l, Attribute, 
612, Purple Buzz Cut, u, l, Attribute, 
613, Blue Buzz Cut, u, l, Attribute, 
614, Periwinkle Buzz Cut, u, l, Attribute, 
615, Light Blue Buzz Cut, u, l, Attribute, 
616, Light Green Buzz Cut, u, l, Attribute, 
617, Green Buzz Cut, u, l, Attribute, 
618, Teal Buzz Cut, u, l, Attribute, 
619, Blonde Buzz Cut, u, l, Attribute, 
620, Silver Buzz Cut, u, l, Attribute, 
621, White Buzz Cut, u, l, Attribute, 
622, Brown Buzz Cut, f, s, Attribute, 
623, Dark Red Buzz Cut, f, s, Attribute, 
624, Orange Buzz Cut, f, s, Attribute, 
625, Red Buzz Cut, f, s, Attribute, 
626, Pink Buzz Cut, f, s, Attribute, 
627, Purple Buzz Cut, f, s, Attribute, 
628, Blue Buzz Cut, f, s, Attribute, 
629, Periwinkle Buzz Cut, f, s, Attribute, 
630, Light Blue Buzz Cut, f, s, Attribute, 
631, Light Green Buzz Cut, f, s, Attribute, 
632, Green Buzz Cut, f, s, Attribute, 
633, Teal Buzz Cut, f, s, Attribute, 
634, Blonde Buzz Cut, f, s, Attribute, 
635, Silver Buzz Cut, f, s, Attribute, 
636, White Buzz Cut, f, s, Attribute, 
637, Clown Hair Black, m, l, Attribute, 
638, Clown Hair Black, f, s, Attribute, 
639, Clown Hair Brown, m, l, Attribute, 
640, Clown Hair Dark Red, m, l, Attribute, 
641, Clown Hair Orange, m, l, Attribute, 
642, Clown Hair Red, m, l, Attribute, 
643, Clown Hair Pink, m, l, Attribute, 
644, Clown Hair Purple, m, l, Attribute, 
645, Clown Hair Blue, m, l, Attribute, 
646, Clown Hair Periwinkle, m, l, Attribute, 
647, Clown Hair Light Blue, m, l, Attribute, 
648, Clown Hair Light Green, m, l, Attribute, 
649, Clown Hair Green, m, l, Attribute, 
650, Clown Hair Teal, m, l, Attribute, 
651, Clown Hair Blonde, m, l, Attribute, 
652, Clown Hair Silver, m, l, Attribute, 
653, Clown Hair White, m, l, Attribute, 
654, Clown Hair Brown, f, s, Attribute, 
655, Clown Hair Dark Red, f, s, Attribute, 
656, Clown Hair Orange, f, s, Attribute, 
657, Clown Hair Red, f, s, Attribute, 
658, Clown Hair Pink, f, s, Attribute, 
659, Clown Hair Purple, f, s, Attribute, 
660, Clown Hair Blue, f, s, Attribute, 
661, Clown Hair Periwinkle, f, s, Attribute, 
662, Clown Hair Light Blue, f, s, Attribute, 
663, Clown Hair Light Green, f, s, Attribute, 
664, Clown Hair Green, f, s, Attribute, 
665, Clown Hair Teal, f, s, Attribute, 
666, Clown Hair Blonde, f, s, Attribute, 
667, Clown Hair Silver, f, s, Attribute, 
668, Clown Hair White, f, s, Attribute, 
669, Top Hat B&W, u, l, Attribute, 
670, Top Hat B&W, f, s, Attribute, 
671, 3D Glasses B&W, u, l, Attribute, 
672, Alien Eyes B&W, u, l, Attribute, 
673, Ape Front B&W, u, l, Attribute, Frankenstein Front B&W | Head Front B&W
674, Ape Nose B&W, u, l, Attribute, 
675, Bandana B&W, u, l, Attribute, 
676, Beanie B&W, u, l, Attribute, 
677, Bear Hood B&W, u, l, Attribute, 
678, Bubble Gum B&W, u, l, Attribute, 
679, Cap B&W, u, l, Attribute, 
680, Cap Forward B&W, u, l, Attribute, 
681, Cigarette B&W, u, l, Attribute, 
682, Clown Eyes B&W, u, l, Attribute, 
683, Clown Nose B&W, u, l, Attribute, 
684, Cowboy Hat B&W, u, l, Attribute, 
685, Crazy Hair B&W, u, l, Attribute, 
686, Earring B&W, u, l, Attribute, 
687, Eyes B&W, u, l, Attribute, 
688, Fedora B&W, u, l, Attribute, 
689, Frown B&W, u, l, Attribute, 
690, Frumpy Hair B&W, u, l, Attribute, 
691, Headband B&W, u, l, Attribute, 
692, Heart Eyes B&W, u, l, Attribute, 
693, Knitted Cap B&W, u, l, Attribute, 
694, Laser Eyes B&W, u, l, Attribute, 
695, Medical Mask B&W, u, l, Attribute, 
696, Messy Hair B&W, u, l, Attribute, 
697, Mohawk B&W, u, l, Attribute, 
698, Mouth B&W, u, l, Attribute, 
699, Mouth Big B&W, u, l, Attribute, Ape Mouth B&W | Alien Mouth B&W
700, Nose B&W, u, l, Attribute, 
701, Nose Small B&W, u, l, Attribute, 
702, Nose Up B&W, u, l, Attribute, Scream Nose B&W
703, Nose Up Big B&W, u, l, Attribute, Alien Nose B&W
704, Orc Eyes B&W, u, l, Attribute, Frankenstein Eyes B&W
705, Orc Mouth B&W, u, l, Attribute, 
706, Orc Mouth Small B&W, u, l, Attribute, 
707, Orc Nose B&W, u, l, Attribute, 
708, Robot Eyes B&W, u, l, Attribute, 
709, Robot Mouth B&W, u, l, Attribute, 
710, Peak Spike B&W, u, l, Attribute, 
711, Pipe B&W, u, l, Attribute, 
712, Police Cap B&W, u, l, Attribute, 
713, Regular Shades B&W, u, l, Attribute, 
714, Santa Hat B&W, u, l, Attribute, 
715, Scream Eyes B&W, u, l, Attribute, 
716, Scream Mouth B&W, u, l, Attribute, 
717, Skeleton Eyes B&W, u, l, Attribute, 
718, Skeleton Mouth B&W, u, l, Attribute, Frankenstein Mouth B&W
719, Small Shades B&W, u, l, Attribute, 
720, Smile B&W, u, l, Attribute, 
721, Smile Big B&W, u, l, Attribute, 
722, Spots B&W, u, l, Attribute, 
723, Sun Hat B&W, u, l, Attribute, 
724, Vampire Mouth B&W, u, l, Attribute, 
725, Vampire Mouth Small B&W, u, l, Attribute, 
726, VR B&W, u, l, Attribute, 
727, Zombie Eyes B&W, u, l, Attribute, 
728, Zombie Mouth B&W, u, l, Attribute, 
